Name,Type,Location,Objective,Industry,,,,,,Description,Source
ISO/IEC 31000,Framework,Global ,Business continuity ,All industries,,,,,,"Provides principles and guidelines for managing all types of risk, including identification, assessment, treatment, and monitoring.",ISO 31000: Risk Management For Businesses
ISO/IEC 27035,Guideline,Global ,Information Security Incident Management,All industries,,,,,,"Provides a structured approach to managing information security incidents, focusing on detection, response, and recovery processes.",ISO/IEC 27035-4:2024 - Information technology ? Information security incident management ? Part 4: Coordination
ISO/IEC 9001,Standard,Global ,Quality Management,All industries,,,,,,"Specifies requirements for a quality management system (QMS), focusing on improving processes, reducing risks, and ensuring customer satisfaction.",ISO 9001:2015 - Quality management systems ? Requirements
"ISO/IEC 15408 (multiple parts, 1-4)",Framework,Global ,Security evaluation,"IT, Government, Military",,,,,,"Provides a framework for evaluating the security features of information technology products and systems, assessing potential risks.","ISO/IEC 15408-2:2022 - Information security, cybersecurity and privacy protection ? Evaluation criteria for IT security ? Part 2: Security functional components"
"ISO/IEC 31010 (Under review, some policies may change)",Guideline,Global ,Risk management,All industries,,,,,,"Provides techniques for risk assessment, offering various methods for evaluating and managing risks in different organizational contexts.",IEC 31010:2019 - Risk management ? Risk assessment techniques
ISO/IEC 14001,Regulation,Global ,Enviromental Management,All industries,,,,,,"Specifies requirements for an environmental management system (EMS), helping organizations manage environmental risks and improve sustainability.",ISO 14001:2015 - ISO 14001 - Environmental management systems
ISO/IEC 28000,Regulation,Global ,Supply Chain Security,"Manufacturing, Logistics",,,,,,"Specifies requirements for a supply chain security management system (SCSMS), focusing on reducing risks in global supply chains.",ISO 28000:2022 - Security and resilience ? Security management systems ? Requirements
ISO/IEC 50001,Regulation,Global ,Energy Management,All industries,,,,,,"Specifies requirements for an energy management system (EnMS), helping organizations reduce energy risks and improve energy performance.",ISO 50001 - Wikipedia
Personal Information Protection and Electronic Documents Act (PIPEDA),Regulation,Canada (Federal),Privacy and data protection,All sectors handling personal data,,,,,,"Governs the collection, use, and disclosure of personal information in commercial activities. Organizations must ensure proper safeguards to protect personal data.",The Personal Information Protection and Electronic Documents Act (PIPEDA) - Office of the Privacy Commissioner of Canada
Canada's Anti-Spam Legislation (CASL),Regulation,Canada (Federal),Digital security and privacy,All industries involved in digital communications,,,,,,"Aims to reduce unsolicited commercial electronic messages, malware, and other digital threats by enforcing consent, identification, and unsubscribe mechanisms.",Canada's anti-spam legislation
Federal Privacy Act,Regulation,Canada (Federal),Protection of personal information held by government institution,Government ,,,,,,"Regulates how federal government institutions collect, use, and disclose personal information, balancing governmental needs and individuals' privacy rights.",Canada?s Privacy Act
Financial Consumer Agency of Canada (FCAC) Regulations,Regulation,Canada (Federal),"Consumer protection, financial services",Financial institutions,,,,,,"Oversees financial institutions to ensure they meet consumer protection standards, covering areas such as fair treatment, disclosures, and complaint handling",Regulations overseen by FCAC - Canada.ca
Occupational Health and Safety Regulations,Regulation,Canada (Federal/Provincial),Workplace safety and health,All industries,,,,,,"Regulations across various provinces and federally aimed at ensuring health and safety of workers, covering risk management, hazard identification, and accident prevention.",Different sources for different provinces
Bank Act,Regulation,Canada (Federal),Financial sector regulation,Financial institutions,,,,,,"Regulates the activities of banks and other financial institutions, including provisions related to anti-money laundering, financial stability, and operational requirements.",Bank Act
CAN/CSA-ISO 31000:2018,Guideline,Global,Risk management,All industries,,,,,,"Based on ISO 31000, provides a structured approach to managing risk.",CSA ISO 31000:18 (R2023) | Product | CSA Group
CSA Risk Disclosure Regulations,Regulation,Canada (Federal),Ensures transparency in risk reporting,Financial institutions,,,,,,Requires public companies to disclose material business risks.,Canadian securities regulators issue statements on proposed sustainability disclosure standards and ongoing climate consultation - Canadian Securities Administrators
OSFI E-21 Operational Risk,Regulation,Canada (Federal),Guides banks & insurers on risk management,Banking & Insurance,,,,,,"Covers fraud, cyber threats, and operational risk controls",Office of the Superintendent of Financial Institutions
CAN/ULC-S1001 Fire Safety Testing,Regulation,Canada (Federal/Provincial),Ensures fire safety system integration,"Construction, Fire Safety",,,,,,Specifies testing for fire protection and life safety systems.,MBOA Oct 25 2017 S1001
CyberSecure Canada,Framework,Canada (Federal),"	Strengthens cybersecurity for SMEs",Cybersecurity,,,,,,"Voluntary certification to enhance cyber resilience.	",CyberSecure Canada
CEPA (Canadian Environmental Protection Act),Regulation,Canada (Federal),Regulates environmental and health risks,Enviromental,,,,,,Assesses and controls toxic substances.,Canadian Environmental Protection Act Registry - Canada.ca
NIST Cybersecurity Framework (CSF),Framework,Global ,"Provides a policy framework for computer security guidance to improve cybersecurity resilience.	",All industries,,,,,,A voluntary framework offering a structured approach to managing and reducing cybersecurity risks.,CSF 1.1 Archive | NIST
NIST Special Publication 800-53,Guideline,Global ,"Recommends security and privacy controls for information systems.	",All industries,,,,,,A catalog of controls to protect organizational operations and assets from various threats.,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final
NIST Special Publication 800-171,Guideline,Global ,"Protects controlled unclassified information in non-federal systems.	","Defense, Contractors	",,,,,,Specifies requirements to safeguard the confidentiality of sensitive information.,"SP 800-171 Rev. 2, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations | CSRC"
Federal Information Processing Standard (FIPS) 140-2,Guideline,Global ,Specifies security requirements for cryptographic modules.,All industries,,,,,,Outlines requirements for cryptographic modules used within security systems to protect sensitive information.,"FIPS 140-2, Security Requirements for Cryptographic Modules | CSRC"
NIST Special Publication 800-90A,Guideline,U.S(federal),"	Recommends deterministic random bit generators for cryptographic applications.",All industries,,,,,,"Provides guidance on the design and implementation of random number generators crucial for cryptographic security.	","SP 800-56A Rev. 3, Recommendation for Pair-Wise Key-Establishment Schemes Using Discrete Logarithm Cryptography | CSRC"
"NIST Special Publication 800-56A	",Guideline,U.S(federal),"Specifies recommendations for pair-wise key-establishment schemes using discrete logarithm cryptography.	",All industries,,,,,,"Offers methods for establishing shared cryptographic keys between parties, essential for secure communications.	","SP 800-56B Rev. 2, Recommendation for Pair-Wise Key-Establishment Using Integer Factorization Cryptography | CSRC"
"NIST Special Publication 800-56B	",Guideline,U.S(federal),"Provides recommendations for pair-wise key-establishment schemes using integer factorization cryptography.	",All industries,,,,,,"Details protocols for securely establishing cryptographic keys using RSA-based methods.	","SP 800-56B Rev. 2, Recommendation for Pair-Wise Key-Establishment Using Integer Factorization Cryptography | CSRC"
"NIST Special Publication 800-38A	",Guideline,U.S(federal),"Recommends block cipher modes of operation for encryption and decryption.	",All industries,,,,,,"Voluntary certification to enhance cyber resilience.	","SP 800-38A, Recommendation for Block Cipher Modes of Operation: Methods and Techniques | CSRC"
"NIST Privacy Framework	",Framework,Global ,"Provides a tool for improving privacy through enterprise risk management.	",All industries,,,,,,"Assists organizations in managing privacy risks by building customer trust and fulfilling compliance obligations.	",Privacy Framework | NIST
ISO 45001,Guideline,Global,"Specifies requirements for establishing, implementing, and maintaining information security management systems.	","Construction, Manufacturing, Oil & Gas, Healthcare",,,,,,Industries focused on improving workplace safety and health standards.,https://www.iso.org/publication/PUB200450.html
"ISO 13485	",framework ,Global,"Specifies requirements for quality management systems specific to the medical devices industry.	","Medical Device Industry, Healthcare",,,,,,Medical device manufacturers aiming to meet regulatory and customer requirements.,https://www.iso.org/standard/59752.html
BCUC,Regulation,"British Columbia, Canada","Regulate utility services and ensure fair pricing and reliable services.The BCUC is responsible for regulating the utility industries in British Columbia, Canada, ensuring fair pricing and service standards for energy providers.",Utilities,,,,,,"PIPA governs how private-sector organizations in certain provinces collect, use, and disclose personal information to protect privacy.",Different sources for different provinces
HIPPA,Standard,U.S(federal),"Ensure the privacy and security of health information.	",Healthcare,,,,,,PCI-DSS provides security requirements for businesses handling payment card data to prevent fraud and breaches.,Summary of the HIPAA Privacy Rule | HHS.gov
Personal Information Protection Act (PIPA) ? Alberta,Regulation,"Alberta, Canada",Privacy and data protection,All sectors handling personal data,,,,,,"Governs the collection, use, and disclosure of personal information by private sector organizations within Alberta.",Personal Information Protection Act (PIPA) ? Alberta
Personal Information Protection Act (PIPA) ? British Columbia,Regulation,"British Columbia, Canada",Privacy and data protection,All sectors handling personal data,,,,,,"Regulates how private sector organizations in British Columbia collect, use, and disclose personal information.",Personal Information Protection Act (PIPA) ? British Columbia
Personal Health Information Protection Act (PHIPA),Regulation,"Ontario, Canada",Health information privacy,Healthcare,,,,,,"Governs the collection, use, and disclosure of personal health information by health information custodians in Ontario.",Personal Health Information Protection Act (PHIPA)
Health Information Act (HIA),Regulation,"Alberta, Canada",Health information privacy,Healthcare,,,,,,"Establishes rules for the collection, use, and disclosure of health information in Alberta, balancing privacy with the effective provision of health services.",Health Information Act (HIA)
Digital Privacy Act,Regulation,Canada (Federal),Privacy and data protection,All industries,,,,,,Amends PIPEDA to introduce mandatory breach notification requirements and enhances the powers of the Privacy Commissioner.,Digital Privacy Act
Directive on Service and Digital,Directive,Canada (Federal),Digital government services,Government,,,,,,"Provides mandatory requirements and guidance to federal departments on managing service delivery, information, data, IT, and cybersecurity.",Directive on Service and Digital
Policy on Government Security,Policy,Canada (Federal),Government security management,Government,,,,,,"Outlines the responsibilities of federal departments and agencies to ensure the security of government operations and assets, including information and IT security.",Policy on Government Security
CAN/CSA-Z1000-14 Occupational Health and Safety Management,Standard,Canada,Occupational health and safety management systems,All industries,,,,,,"Specifies requirements for an occupational health and safety management system, aiming to improve worker protection and organizational performance.",CAN/CSA-Z1000-14
CAN/CSA-Z1003-13 Psychological Health and Safety in the Workplace,Standard,Canada,Psychological health and safety in the workplace,All industries,,,,,,"Provides a framework to create and sustain psychologically healthy and safe workplaces, addressing the prevention of psychological harm and the promotion of psychological well-being.",CAN/CSA-Z1003-13
Payment Card Industry Data Security Standard (PCI DSS),Standard,Global,Payment card data security,"Finance, Retail",,,,,,Sets requirements for organizations handling credit card transactions to protect cardholder data and reduce credit card fraud.,PCI DSS
Health Information Trust Alliance (HITRUST) Common Security Framework (CSF),Framework,Global,Healthcare information security,Healthcare,,,,,,"Provides a comprehensive framework for managing information security risks in the healthcare sector, harmonizing various standards and regulations.",HITRUST CSF
General Data Protection Regulation (GDPR),Regulation,European Union,Data protection and privacy,All industries,,,,,,"Regulates data protection and privacy for all individuals within the EU and the European Economic Area, with extraterritorial applicability affecting organizations outside the EU that process personal data of EU residents.",GDPR
California Consumer Privacy Act (CCPA),Regulation,"California, USA",Consumer data privacy rights,All industries,,,,,,Grants California residents new rights regarding their personal information and imposes data protection responsibilities on certain businesses.,https://oag.ca.gov/privacy/ccpa
Sarbanes-Oxley Act (SOX),Act,USA,Corporate financial and auditing accountability,"Finance, Public Companies",,,,,,"Establishes requirements for public company boards, management, and public accounting firms to improve financial disclosures and prevent accounting fraud.",Sarbanes-Oxley Act
Artificial Intelligence and Data Act (AIDA),Regulation,Canada (Federal),Regulate AI systems and data usage,All industries,,,,,,"Introduced in June 2022 as part of Bill C-27, AIDA aims to ensure that AI systems deployed in Canada are safe and non-discriminatory, establishing guidelines for the responsible development and use of AI.",AIDA Companion Document
Zero Trust Security Model - ITSAP.10.008,Guideline,Canada (Federal),Implement zero trust security principles,All industries,,,,,,"Provides an overview of the Zero Trust security model, emphasizing continuous verification of user and device identities, and the principle of least privilege to enhance cybersecurity.",Zero Trust Security Model - ITSAP.10.008
A Zero Trust Approach to Security Architecture - ITSM.10.008,Guideline,Canada (Federal),Guide organizations in adopting zero trust,All industries,,,,,,Offers a comprehensive description of zero trust security concepts and provides guidance on transitioning to a zero trust architecture to safeguard organizational assets.,A Zero Trust Approach to Security Architecture - ITSM.10.008
Protect Your Operational Technology - ITSAP.00.051,Guideline,Canada (Federal),Secure operational technology (OT) environments,Critical infrastructure,,,,,,Highlights risks associated with OT systems and recommends security measures to mitigate cyber threats targeting critical infrastructure.,Protect Your Operational Technology - ITSAP.00.051
Joint Guidance on Principles of Operational Technology Cybersecurity,Guideline,Canada (Federal),Enhance OT cybersecurity in critical infrastructure,Critical infrastructure,,,,,,"Provides principles to assist decision-makers in designing, implementing, and managing secure OT environments, ensuring safety and business continuity.",Joint Guidance on Principles of Operational Technology Cybersecurity
Cyber Security Readiness Goals: Securing Our Most Critical Systems,Guideline,Canada (Federal),Boost cyber resilience across critical infrastructure,Critical infrastructure,,,,,,Outlines 36 cross-sector cybersecurity practices to enhance the resilience of Canada's critical infrastructure against cyber threats.,Cyber Security Readiness Goals
Technology and Cyber Risk Management,Guideline,Canada (Federal),Manage technology and cyber risks,Financial institutions,,,,,,"Provides frameworks and standards for technology operations and information security, assisting organizations in managing cyber risks effectively.",Technology and Cyber Risk Management
Common Criteria (ISO/IEC 15408),Standard,Global,Evaluate IT product security,"IT, Government",,,,,,"An international standard for computer security certification, providing a framework for evaluating the security attributes of IT products and systems.",Common Criteria
Common Criteria Evaluation and Validation Scheme (CCEVS),Framework,Canada (Federal),Certify IT products' security features,"IT, Government",,,,,,"Oversees the evaluation of IT products against the Common Criteria standard, ensuring they meet defined security requirements.",Communications Security Establishment
Transport Canada's Vehicle Cyber Security Strategy,Strategy,Canada,Enhance vehicle cybersecurity,Transportation,,,,,,"Provides a strategic framework to address cybersecurity risks associated with connected and automated vehicles, focusing on policy development, awareness promotion, and emerging issue management.",Transport Canada's Vehicle Cyber Security Strategy
Road Infrastructure Operational Technology Cyber Security Primer,Guideline,Canada,Secure traffic management and intelligent systems,Transportation,,,,,,Offers guidance to organizations for understanding and mitigating cybersecurity risks related to traffic management and intelligent transportation systems.,Road Infrastructure Cyber Security
Critical Cyber Systems Protection Act (CCSPA) - Bill C-26,Regulation,Canada (Federal),Protect critical cyber systems,Critical Infrastructure,,,,,,"Establishes cybersecurity compliance requirements for federally regulated critical infrastructure sectors, mandating the implementation of cybersecurity programs and reporting of incidents.",Bill C-26: Advancing towards cybersecurity governance in Canada
Cyber Security Readiness Goals: Securing Our Most Critical Systems,Guideline,Canada,Enhance cybersecurity resilience,Critical Infrastructure,,,,,,"Outlines 36 foundational cybersecurity goals grouped into six pillars, providing concrete actions to improve the cybersecurity posture of Canada's critical infrastructure.",Cyber Security Readiness Goals
North American Electric Reliability Corporation (NERC) Critical Infrastructure Protection (CIP) Standards,Standard,North America,Secure bulk electric system,Utilities,,,,,,"Defines requirements for securing the assets required for operating North America's bulk electric system, focusing on cybersecurity measures for critical assets.",NERC CIP Standards
Payment Card Industry Data Security Standard (PCI DSS),Standard,Global,Protect cardholder data,"Retail, Finance",,,,,,"Specifies requirements for organizations that handle branded credit cards to ensure the secure processing, storage, and transmission of cardholder data.",PCI Security Standards Council
